Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Mosfets","IRLB3034PBF MOSFETs for controlling the heaters of the printer.",3,4.06,"https://www.aliexpress.com/item/4000222160431.html?spm=a2g0o.productlist.main.1.701d2eacHI2noh&algo_pvid=e8668151-e46e-4309-800e-2077e72375df&algo_exp_id=e8668151-e46e-4309-800e-2077e72375df-0&pdp_ext_f=%7B%22order%22%3A%2266%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.88%211.45%21%21%214.00%210.98%21%40210328c017752737169366011ebd3e%2110000000864172031%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843419&curPageLogUid=LSIIE8dqceVT&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000222160431%7C_p_origin_prod%3A","Aliexpress"
"Capacitors","220 uf 50V capacitors for the motherboard",6,3.80,"https://www.aliexpress.com/item/1005011631970768.html?spm=a2g0o.productlist.main.6.11e01afbH7otWg&algo_pvid=ea0e70cf-552e-4c24-aa21-9a0a49e67bf6&algo_exp_id=ea0e70cf-552e-4c24-aa21-9a0a49e67bf6-5&pdp_ext_f=%7B%22order%22%3A%22889%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.71%211.45%21%21%2112.71%216.80%21%4021030a6217752717653413118ea4b9%2112000056427936714%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843456&curPageLogUid=3mj5Ipi5ZoII&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011631970768%7C_p_origin_prod%3A","Aliexpress"
"female headers","For connecting the A4988 drivers to the motherboard",12,5.52,"https://www.aliexpress.com/item/4000059515638.html?spm=a2g0o.productlist.main.9.3a78pSyIpSyIFy&algo_pvid=1a6644c9-0d15-4e98-a974-f6610573b0b1&algo_exp_id=1a6644c9-0d15-4e98-a974-f6610573b0b1-8&pdp_ext_f=%7B%22order%22%3A%22284%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2114.21%211.45%21%21%219.67%210.98%21%402101c44517752688612072065e0933%2112000028027640857%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843419&curPageLogUid=7JxZIhsilBI0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000059515638%7C_p_origin_prod%3A","Aliexpress"
"Male pin headers","For connecting components like endstops and the MCU to the motherboard",1,8.74,"https://www.aliexpress.com/item/1005011692961056.html?spm=a2g0o.productlist.main.6.57f6487bkxhM2t&algo_pvid=cf18d2a9-385d-4fc5-8ad6-75333b3f4af1&algo_exp_id=cf18d2a9-385d-4fc5-8ad6-75333b3f4af1-5&pdp_ext_f=%7B%22order%22%3A%221274%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005011692961056%22%2C%22orig_item_id%22%3A%221005010337310648%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%217.68%211.45%21%21%2136.00%216.80%21%40210319b717752687310407356e8479%2112000056260706301%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843456&curPageLogUid=2ZVKkz74AUod&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011692961056%7C_p_origin_prod%3A1005010337310648","Aliexpress"
"Blower fan","Cooling the nozzle/part",2,4.60,"https://www.aliexpress.com/item/1005006744255466.html?spm=a2g0o.productlist.main.18.7f9f5db3RONGTo&aem_p4p_detail=202604031902574206037527561500000981548&algo_pvid=619f652d-2eee-4128-aee8-e13ab89bcbb5&algo_exp_id=619f652d-2eee-4128-aee8-e13ab89bcbb5-15&pdp_ext_f=%7B%22order%22%3A%2233%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%216.67%216.29%21%21%2131.26%2129.48%21%402103274e17752681771328222e87ef%2112000056790491158%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=7c9OwehxviKo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006744255466%7C_p_origin_prod%3A&search_p4p_id=202604031902574206037527561500000981548_4","Aliexpress"
"Bearing","16x8x5 bearing for holding the top of leadscrews in place",3,0.45,"https://jlcmc.com/product/b/C15/BR8364/deep-groove-ball-bearing-double-side-with-dust-cover","JLCMC"
"Fuse","KCD3 Fuse holder for the motherboard. For the main PSU, 30-35A fuse. For bed PSU, 20A fuse.",2,7.80,"https://www.aliexpress.com/item/1005005182079397.html?spm=a2g0o.productlist.main.37.46d42d7bflqGAT&algo_pvid=e277db1d-0a25-4cd8-b4e5-8a226238a0aa&algo_exp_id=e277db1d-0a25-4cd8-b4e5-8a226238a0aa-36&pdp_ext_f=%7B%22order%22%3A%22680%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.28%211.45%21%21%2124.76%216.81%21%402101e2b017752723764397683ed113%2112000040889150142%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843456&curPageLogUid=zcssCcAWRYTf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005182079397%7C_p_origin_prod%3A","Aliexpress"
"Screw terminals","30A Screw terminals for powering motherboard, and connecting heaters to motherboard",7,5.52,"https://www.aliexpress.com/item/1005009941526260.html?spm=a2g0o.productlist.main.11.6699aRudaRudhq&algo_pvid=89ec62cf-593d-44c2-9882-a10513144a1b&algo_exp_id=89ec62cf-593d-44c2-9882-a10513144a1b-10&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.72%212.53%21%21%2117.41%2111.84%21%402101eecd17752720149076217e3ec5%2112000050638072357%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=gSVVO5LFxt8p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009941526260%7C_p_origin_prod%3A","Aliexpress"
"Resistors","1/4 watt, 10k and 150 ohm resistors for the motherboard MOSFETS",6,5.73,"https://www.aliexpress.com/item/1005008464765307.html?spm=a2g0o.productlist.main.3.6beeb7seb7se95&algo_pvid=9d5a656c-2e93-448e-8bdb-5524d68c3fdc&algo_exp_id=9d5a656c-2e93-448e-8bdb-5524d68c3fdc-2&pdp_ext_f=%7B%22order%22%3A%2233%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.14%214.14%21%21%2119.41%2119.41%21%40210319b717752734548065346e842d%2112000045251572444%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=tQ7l9CIgVT6O&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008464765307%7C_p_origin_prod%3A","Aliexpress"
"Capacitors","100 nf (0.1 uf) 50V ceramic capacitors for the motherboard",6,0.00,"https://www.aliexpress.com/item/1005006883576409.html?spm=a2g0o.productlist.main.33.49e251a9tTNOzG&algo_pvid=c24414d9-97ff-45ec-b095-ba25d4c4afb2&algo_exp_id=c24414d9-97ff-45ec-b095-ba25d4c4afb2-30&pdp_ext_f=%7B%22order%22%3A%22101%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.33%213.20%21%21%2115.59%2114.97%21%402101e62517752716206776129e0a0b%2112000038613636397%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=jVSqGQnLf0eX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006883576409%7C_p_origin_prod%3A","Aliexpress"
"Screws","For fastening components to the the rivet nuts. 225 M5, 5 M4, 100 M3",330,7.73,"https://jlcmc.com/product/s/E02/EDLA/hex-socket-screw-full-partial-thread-standard-type-(din-912-gb-t-70.1)","JLCMC"
"PEI sheet","The print surface that goes on top of the print bed. 310x310",1,14.63,"https://www.aliexpress.com/item/1005006866749353.html?spm=a2g0o.productlist.main.17.7784qUMIqUMIYV&algo_pvid=93b61df2-3243-437c-82de-90710947c82e&algo_exp_id=93b61df2-3243-437c-82de-90710947c82e-16&pdp_ext_f=%7B%22order%22%3A%221253%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2112.09%211.45%21%21%2156.65%216.79%21%402101e2b417752670140866859eb963%2112000051559315778%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843419&curPageLogUid=riy6tkaUbw0i&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006866749353%7C_p_origin_prod%3A","Aliexpress"
"Polycarbonate","Polycarbonate sheet for the door.",1,30.00,"https://www.bunnings.com.au/suntuf-400-x-400-x-8mm-clear-palsun-polycarbonate-sheet-8mm_p1010483","Bunnings"
"Heat set inserts","Attaching electronics case lid",4,0.17,"https://jlcmc.com/product/s/E04/EMLU/insert-nut-through-hole","JLCMC"
"Rivet nuts","Nuts for fastening things to the square steel tubing. Need 175 M5, 5 M4, 100 M3",280,7.59,"https://jlcmc.com/product/s/E12/EMJE/rivet-nut-pull-through-ribbed-dome-head","JLCMC"
"MK8 extruder","The MK8 extruder pushes filament into the hotend using the Nema 17 motor",1,4.33,"https://www.aliexpress.com/item/1005007542803374.html?spm=a2g0o.productlist.main.30.4871298e6622Ky&algo_pvid=c56a8ecb-e1aa-4c08-83e4-934475fec138&algo_exp_id=c56a8ecb-e1aa-4c08-83e4-934475fec138-29&pdp_ext_f=%7B%22order%22%3A%22642%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%216.64%211.45%21%21%214.52%210.99%21%402103212317752660219846218e3305%2112000041225614025%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843419&curPageLogUid=lLozSRLeO441&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007542803374%7C_p_origin_prod%3A","Aliexpress"
"PTC heater","The space heater for the heated chamber of the printer to enable printing harder materials. 24v 400w.",1,17.00,"https://www.aliexpress.com/item/1005007442989854.html?spm=a2g0o.productlist.main.1.71f3a8d0sZSDY&algo_pvid=2ed4a76d-82cf-48c9-8808-acc357ff1653&algo_exp_id=2ed4a76d-82cf-48c9-8808-acc357ff1653-0&pdp_ext_f=%7B%22order%22%3A%224885%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2116.43%215.96%21%21%2111.09%214.02%21%402103212517748608234258144e3112%2112000040774614547%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197827888&curPageLogUid=vXhUvAlolt2a&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007442989854%7C_p_origin_prod%3A","Aliexpress"
"Heated bed","300x300 24v heated bed to heat up the print surface",1,25.00,"https://www.aliexpress.com/item/1005008233590835.html?spm=a2g0o.productlist.main.9.35cb6ab01pwLms&algo_pvid=a5394779-b4a1-40e8-9eea-16bd6e430344&algo_exp_id=a5394779-b4a1-40e8-9eea-16bd6e430344-8&pdp_ext_f=%7B%22order%22%3A%2298%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2118.09%2118.09%21%21%2184.53%2184.53%21%40210319b717748605717518699e414c%2112000044318998456%21sea%21AU%216973160092%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=EuYcYv5fmPI0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008233590835%7C_p_origin_prod%3A","Aliexpress"
"Square steel tube","2mm thick 40x40 Galvanised square steel tubing is the frame for the printer. I will use 40x40 as it has greater strength. I will cut it to length, drill holes where necessary for mounting and then weld together. I will need 6m.",1,31.06,"https://www.rhssteelsupplies.com.au/hikashop-menu-for-categories-listing/product/3127-galvanised-square-hollow-box-section-40-x-40-x-2-5-gal-8-metres.html","RHS Steel Supplies"
"ACM panel","ACM panel will make the enclosure for the printer. I need to use ACM as it is the cheapest suitable material, as it must be able to contain the heat of the chamber without weakening. I will cut/bend the ACM to fit around the frame.",1,60.00,"https://plastix.com.au/product/aluminium-composite-panels/?attribute_pa_acp-colours=white-gloss-primer&attribute_pa_size=full-sheet-2440-x-1220mm-8x4","Plastix.com.au"